QID1	Position	Q2_1	Q2_2	Q2_3	Q2_4	Q2_5	Q2_6	Q3_1	Q3_2	Q3_3	Q3_4	Q3_5	Q3_6	Q4_1	Q4_2	Q4_3	Q4_4	Q4_5	Q4_6	Q4_7	Comments	Gender	LGBTQ	UnderRep	Black	Asian	LatinX	MiddleEast	Native	HawaiiPI	White	Other	Ethnicity.text	Disability	Military	Academic_Class	Staff_wStudents	Faculty_rank	Faculty_appoint	Gender.exp	LGBTQ.text	Q18_1	Q18_2	Q18_3	Q18_4	Q18_5	Q19_1	Q19_4	Q19_5	Q19_6	Q19_7	Q19_8	Q19_9	Q19_10	Q19_11	Q19_12	Q19_13	Q19_14	Disability.text	role		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	5			4		Cisgender Man*	No	No	0	0	0	0	0	0	1	TRUE	Jewish	"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	2	1	3	1	1	1	2	3	3	3	3	2	3	3	5	4	3				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5		5			Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	3	2	3	4	2	4	5	4	4	4	2	3	3	4	5	4		5		"At the departmental level, there is a lot of support. At the college level, it seems financial concerns outweigh everything else."	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Assistant	Instructional faculty																					Faculty		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	3	2	2	2	2	4	4	4	4	4	1	3	4	4	5	4		5		"I believe that my job, as faculty at UT, is the generation (research) and dissemination (teaching) of knowledge.
I do not believe that the administration values either.  They value funding, which is an imperfect but understandable proxy for research.  They do NOT value teaching.  They value student happiness and mindfulness and other assorted buzzwords, but they could give a crap whether the students actually learn anything."	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Associate	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	5	4	5	4	4	2	4	2	4	4	5	5	3		4		Cisgender Man*	No	No	0	1	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	1	4	2	2	2	2	2	2	3	4	3	2	4	2	1		2		Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	3	4	4	3	5	5	4	3	3	4	3	4	4	4	4	5			na	Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	4	4	4	4	4	4	4	4	4	3	4	4	5	4		4		Cisgender Woman*	No	Yes	0	0	1	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	3	2	3	2	4	5	5	5	5	3	3	4	4	4	2	3		3		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	3	3	4	4	4	4	5	3	3	4	4	4	4	5	5	4		4		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4		4		Cisgender Man*	No	Yes	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4				Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	5	3	1	1	2	5	5	1	5	4	1	4	4	5	5		5			Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Assistant	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	3	4	1	4	1	3	5		1	1	5	3	3	5		2		3		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	2	4	2	4	4	3	3	4	4	5	4	5	4	4	5	3	5				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	3	4	3	4	4	4	4	4	4		4		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	4	4	5	5	5	4		4	5	4	4	4	5	5	5	4				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	3	3	4	4	4	4	3	3	4	4	4	4	5		4			My work as technical support has been appreciated as I worked for ITS then PGE and now one investigator.  It has had challenges through the years and for the most part have been for the good of the College and the University.	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	3	4	3	3	4	4	5	3	5	4	4	4	4	4	4		4			Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served			Not applicable to my position	Instructional faculty																					Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	3	4	4	3	3	4	4	4	2	4	3	4	4	5	4				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	4	5	5	4	4	4	5	5	4	3	3	3	5	5	5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	3	3	4	3	3	2	4	5	2	2	3	4	1	3		4	"There is no representation of women. Students at UT are not as social in academic setting as at other universities, so it is difficult to network or feel accepted."	Cisgender Woman*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	Master's student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	3	4	4	4	4	4	4	4	5	4	4	4	3	3	5				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	3	4	3	5	4	4	4	3	5		4		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	5	3	5	4	5	5	4	4	5	5	5	5	4	5	5				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	5	5	3	4	2	4	4	4	5	4	4	4	4	4	4	5		3		Cisgender Man*	No	No	0	0	0	1	0	0	0	FALSE		"No, I do not have a disability"	I have never served	Master's student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	2	1	2	1	1	1	1	1	1	4	4	4	2	5	1	4		4	Most of my professors are male so there’s not much diversity in Cockrell. The professors are condescending and disregard students that aren’t geniuses	Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	4	5	5	5	3	4	5	5	5	5	4	4	5		5		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	3	2	4	4	4	4	3	2	4	3	4	4	2	5	5	4		4	"I think a communication class for first year undergraduate students would help with DEI efforts as well as the culture within the department. Teaching students ""how"" to communicate their ideas, recieve/give feedback, and generally speak with other engineers will help with the manner in which students talk to each other."	Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	2	2	3	3	4	2	4	5	1	2	3	1	2	2	5	3	3		2	"There is little or no push for diversity and cultural competence, between students and staff. I've had very little assistance professionally or academically by either faculty or staff."	Cisgender Man*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	5		5		"Diversity is important to the success of CSE.  The usage in the question of the word ""imperative"" suggests that it is the most important characteristic.  I don't think that is actually correct.  I think it is one of several very important characteristics and the challenge for the administration is to balance the important of supporting diversity with these other characteristics including academic freedom, technical excellence, etc."	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	4	3	4	3	4		4	4	4	4	4	5	4	5		4		Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	4	4	5	3	3	4	4	4	4	4	4	5	5	4	5		5			Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Assistant	Research faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	3	4	3	2	4	2	5	4	4	4	3	4	4	4	4	2		4		Cisgender Man*	No	Yes	0	0	1	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	5th+ year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	3	5	4	5	4	4	3		3	4	5	5	5	5	3	5		5		Cisgender Man*	No	Yes	1	0	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	Master's student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5	5	4	5	4	4	5	4	4	5	5	5		5		Cisgender Man*	No	Yes	1	0	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	3	3	4	5	5	5	5	4	5	5	4	3	4	5	4	3			Work results do not always equate to appraisals or increases in compensation.	Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	5	5	5	5	4	5	4	4	4	5	5	5	5	5	5		5			Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	"I am no longer serving in U.S. Armed Forces, Military Reserves or National Guard"			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	5	3	4	4	4	3	4	4	4	4	3	5	4	4		4		Cisgender Woman*	No	No	0	0	0	1	0	0	1	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5	5	5	5	5	5	5	3	3	4	3	5		5	"The constant promotion of minority/special sub groups is divisive.  The ""diversity"" emails seek to continue to point out differences among students rather than find common ground to include everyone.  They are counterproductive."	Response not listed (you'll have a chance to specify later)	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	"I am currently serving in U.S. Armed Forces, Military Reserves, or National Guard"	PhD student																								Graduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	2	3	3	4	2	3	5	5	4	4	4	4	4	4	5	5		5			Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Assistant	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	4	4	5	3				5	4		3	3	3	3	2				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	4	3	4	5	4	5	5	4	4		4		Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	5	5	5	5	5	2	4	3	5	2	5	5	5	4	2		5		The staff in my department go out of their way to support the interests of the staff as opposed to the mission of education. In particular the department EA who sets the tone for the rest of the staff.	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Not applicable to my position	Instructional faculty																					Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	3	5	5	3	3	3	4	5	4	4	5	3	5	1	2	5			"Is not clear the meaning of ""people with different ideas"", I refer exclusively to approaches on engineering.  Respect the ""diversity"", I assume this point is about accepting people from all races, genders, ideologies, etc. All important academic centers claim diversity, but in the practice the most important thing is the talent of the people."	Cisgender Man*	No	No	0	0	1	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5		5		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	3	1	1	3	1	4	5	4	5	4	4	3	5	4	1		4		"While it's important to promote inclusion, I feel that many of the communications coming from the Assistant Dean for Diversity are biased and have referred faculty and staff to materials and resources that sow division within our school and society.  For example, the 1619 Project, whose basic tenets have been debunked by a broad range of scholars of history, was listed as recommended reading, in addition to many other such problematic resources.  
Also, last spring the Assistant Dean went out of her way to list over 50 attendees of an optional  diversity and inclusion workshop.  I, and several of my colleagues, saw this as a reverse ""name and shame"" attempt.  This was presented under the guise that this would enable the community to have a ""conversation"" with those ""leaders"" who chose to attend.  If this is such an effective method to spur conversations about Cockrell School Initiatives, then why have I not received lists of attendees at workshops that address other non-DEI workshops in Cockrell?

I suggest that the Assistant Dean's messages should be more carefully vetted by school leadership before they are released.  They are doing more harm than good."	Response not listed (you'll have a chance to specify later)	No	Yes	0	1	1	0	0	0	1	FALSE		"Yes, I have a disability"	I have never served			Not applicable to my position	Instructional faculty	I'm a man.											Deaf/Hard of Hearing			Mental Health/Psychological Condition						Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	2	1	2	3	1	1	1	4	2	3	1	1	1	4	3	3	2		3	"I don't think Cockrell has a problem with inclusivity when comes to race, sex, gender, etc. I think Cockrell has a huge problem with respect for all students in general. Many professors explicitly insult all students and, thanks to the professors' connections, they won't be fired or even reprimanded regardless of student outcry. This is further reflected in the School's dilapidated, outdated curriculum that exhaust all students with pointless busywork. This, not any more specific discrimination, routinely drives students to drop our or even develop severe mental illness."	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	2	2	3	4	3	4	4	3	4	4	3	4	4	3	4		3	"I don’t think I’ve really had the opportunity to interact with the people in the Cockrell community, which is why I answered “neutral” to a lot of these."	Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	2	4	2	3	3	4	3	1	5	2	4	3	3	5	1	5				Cisgender Woman*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	2	3	2	2	3	4	4	3	2	4	4	4	4	4	4	3		3		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
