QID1,Position,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Comments,Gender,LGBTQ,UnderRep,Black,Asian,LatinX,MiddleEast,Native,HawaiiPI,White,Other,Ethnicity.text,Disability,Military,Academic_Class,Staff_wStudents,Faculty_rank,Faculty_appoint,Gender.exp,LGBTQ.text,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q19_13,Q19_14,Disability.text,role,Filter?,Sexual Identity
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,5,4,5,5,5,5,5,5,5,5,5,2,5,4,4,5,#N/A,5,The only thing unacceptable within the college is having different political ideals. Being conservative is viewed as immoral.,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"Yes, I have a disability",I have never served,5th+ year undergraduate,#N/A,#N/A,#N/A,#N/A,Bisexual,3,3,3,3,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Mental Health/Psychological Condition,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,#N/A,5,Recruitment of women needs to improve at the graduate level. Often I am the only woman in a class.,Cisgender Woman*,Yes,No,0,1,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,#N/A,5,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Undisclosed
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",4,5,5,2,5,5,5,3,5,5,4,4,5,5,5,4,5,#N/A,#N/A,"One of the most recurring comments I have heard over the years from fellow staff members, is concerning the lack of appreciation undergraduate students have towards staff. The Dean, administrators, and faculty show their appreciation for the support they receive from staff.",Cisgender Man*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability","I am no longer serving in U.S. Armed Forces, Military Reserves or National Guard",#N/A,Yes,#N/A,#N/A,#N/A,Gay male,3,3,3,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Gay
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,#N/A,5,#N/A,Nonbinary/Gender Non-Conforming,Yes,Yes,0,0,1,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,Asexual,5,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Asexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,3,2,4,4,3,4,5,3,4,5,5,5,5,4,5,#N/A,4,#N/A,Cisgender Man*,"It's complicated, I'd like to expand further",No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,4th year undergraduate,#N/A,#N/A,#N/A,#N/A,Man,5,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,TRUE,
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,#N/A,5,#N/A,Cisgender Woman*,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,1st year undergraduate,#N/A,#N/A,#N/A,#N/A,bisexual,3,3,2,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",4,1,3,3,3,3,4,3,3,3,3,3,3,3,3,1,3,#N/A,#N/A,#N/A,Cisgender Woman*,"It's complicated, I'd like to expand further",No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,No,#N/A,#N/A,#N/A,#N/A,4,4,4,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Undisclosed
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,3,3,1,1,1,2,3,2,1,1,2,3,2,5,1,1,#N/A,1,"There isn't nearly enough racial or gender diversity in Cockrell faculty (which may be more of a problem with availability than anything). It's also been consistently difficult to discuss disabilities and mental health with professors, so there's always a risk of bringing up concerns and going completely unheard.",Cisgender Woman*,Yes,No,0,1,0,0,0,0,0,TRUE,"Although Asian Americans are well represented in engineering, they aren't as well represented in faculty","Yes, I have a disability",I have never served,5th+ year undergraduate,#N/A,#N/A,#N/A,#N/A,Queer/pansexual,2,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Mental Health/Psychological Condition,#N/A,#N/A,#N/A,Other (please specify):,probably other undiagnosed disabilities,Undergraduate,FALSE,Pansexual
"Yes, I consent","Faculty (e.g., instructional or research)",4,2,2,1,2,2,4,3,3,4,1,1,2,1,5,3,#N/A,2,#N/A,#N/A,Cisgender Woman*,"It's complicated, I'd like to expand further",No,0,0,0,0,0,0,1,FALSE,#N/A,"Yes, I have a disability",I have never served,#N/A,#N/A,Full,Tenured or tenure-track faculty,#N/A,#N/A,3,3,2,4,5,#N/A,#N/A,#N/A,#N/A,#N/A,Cognitive or Learning Disability,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Faculty,FALSE,Undisclosed
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,3,4,2,4,4,5,3,3,1,1,2,2,5,4,#N/A,#N/A,4,"I think it's important, especially in an engineering environment, to have diversity of backgrounds. However, I don't think the Cockrell School of Engineering or UT as a whole support that full heartedly. In order to be truly diverse there needs to be an actual change in the system that isn't just ""for show"" diversity. Unfortunately, the main reason I was hesitant to come to UT in the first place was because of the reputation of Texas and the systemic racism that is obviously present at this university still. In some ways I'm ashamed my degree is coming from here and that shows there truly needs to be some deeper changes in the system.",Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"Yes, I have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,Bisexual/Pansexual,4,4,2,2,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Mental Health/Psychological Condition,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Pansexual
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",4,4,4,3,3,2,4,4,4,5,2,2,2,2,5,4,5,#N/A,#N/A,#N/A,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"Yes, I have a disability",I have never served,#N/A,Yes,#N/A,#N/A,#N/A,Bisexual,4,4,4,4,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Mental Health/Psychological Condition,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",2,3,1,2,2,4,4,3,2,2,2,4,#N/A,4,4,2,3,#N/A,1,I feel like a lot of my peers dismiss my thoughts because I'm a woman.,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"Yes, I have a disability",I have never served,1st year undergraduate,#N/A,#N/A,#N/A,#N/A,Bisexual,2,2,2,2,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Chronic Illness/Medical Condition,Mental Health/Psychological Condition,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",3,4,4,4,5,4,5,5,5,5,5,5,5,3,4,4,3,#N/A,4,#N/A,Cisgender Man*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,gay,4,5,3,3,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Gay
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,3,5,3,3,3,3,3,4,4,5,4,3,5,2,4,#N/A,5,#N/A,Cisgender Woman*,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,1st year undergraduate,#N/A,#N/A,#N/A,#N/A,Lesbian,4,3,2,2,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Lesbian
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,5,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,#N/A,4,I don’t know who my primary supervisor is? I don’t feel like there is anyone who actually knows who I am or checking to see how I’m doing?,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,2nd year undergraduate,#N/A,#N/A,#N/A,#N/A,Bisexual,5,4,4,4,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,3,2,2,3,3,3,#N/A,2,4,4,4,4,5,3,3,#N/A,3,#N/A,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,Lesbian,1,2,1,1,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Lesbian
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",3,3,3,2,3,3,2,4,#N/A,3,4,3,4,3,5,3,3,#N/A,3,#N/A,Cisgender Woman*,"It's complicated, I'd like to expand further",Yes,0,1,1,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,1st year undergraduate,#N/A,#N/A,#N/A,#N/A,Heteroflexible/questioning,1,1,1,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Questioning
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,3,3,4,3,3,3,4,3,3,3,4,4,3,3,2,#N/A,#N/A,4,#N/A,Cisgender Woman*,Yes,Yes,1,0,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,5th+ year undergraduate,#N/A,#N/A,#N/A,#N/A,Questioning,3,3,4,3,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Questioning
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",3,4,4,3,3,4,4,4,5,4,4,4,4,4,5,2,5,#N/A,4,"My responses above are very bias and skewed due to my major. I am part of the CAEE group and I understand that their culture is extremely different from that of other departments in Cockrell. CAEE support network is robust and kind. All faculty and staff has been kind to me in my 5+ years of being a part of it. When you ask ""Cockrell School"" I think of CAEE because that is my scope.",Cisgender Woman*,Yes,No,0,0,0,1,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,Master's student,#N/A,#N/A,#N/A,#N/A,Bi-sexual,3,3,2,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,3,3,3,4,4,4,4,4,4,2,4,3,3,5,5,#N/A,#N/A,4,#N/A,Cisgender Man*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,4th year undergraduate,#N/A,#N/A,#N/A,#N/A,Gay/Queer,5,4,3,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Gay
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",4,2,4,2,3,2,4,3,4,4,3,3,4,4,4,5,4,#N/A,#N/A,#N/A,Cisgender Man*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"Yes, I have a disability","I am no longer serving in U.S. Armed Forces, Military Reserves or National Guard",#N/A,No,#N/A,#N/A,#N/A,Gay,4,4,4,4,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Chronic Illness/Medical Condition,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Gay
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",4,3,3,3,3,3,3,4,3,4,2,2,2,2,5,4,5,#N/A,#N/A,#N/A,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,Yes,#N/A,#N/A,#N/A,queer,4,4,4,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Queer
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,4,5,3,4,4,5,4,3,2,4,4,3,5,4,4,#N/A,4,"While I feel like Cockrell values me, I’m not certain that it values others similarly due to historical biases and problems in the school regarding diversity and inclusion.",Cisgender Man*,"It's complicated, I'd like to expand further",No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,3rd year undergraduate,#N/A,#N/A,#N/A,#N/A,"Mostly heterosexual, but curious",4,2,1,1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Questioning
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,5,2,5,5,5,5,5,4,5,3,5,1,4,1,5,3,#N/A,5,#N/A,Response not listed (you'll have a chance to specify later),Yes,Yes,1,1,1,1,1,1,1,FALSE,#N/A,"Yes, I have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,Fluid,5,5,5,5,5,Acquired/Traumatic Brain Injury,#N/A,Asperger's/Autism Spectrum,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Speech/Communication Condition,#N/A,#N/A,Graduate,FALSE,Queer
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,3,2,3,4,4,4,3,2,3,4,4,4,5,2,2,#N/A,2,#N/A,Cisgender Woman*,Yes,Yes,0,0,1,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,Bisexual,2,2,1,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,5,3,5,5,5,5,3,4,3,5,5,5,5,5,3,5,#N/A,3,"I feel the engineering school collectively encourages me in professional and educational development, but it's difficult to pinpoint a single person who personally roots for me.",Cisgender Woman*,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,3rd year undergraduate,#N/A,#N/A,#N/A,#N/A,Bisexual,4,4,3,3,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,4,3,4,1,4,4,3,3,3,4,4,4,4,5,5,4,#N/A,4,#N/A,Cisgender Man*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,2nd year undergraduate,#N/A,#N/A,#N/A,#N/A,#N/A,4,4,4,4,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Undisclosed
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",4,3,3,2,3,3,3,#N/A,3,5,4,3,3,3,4,4,3,#N/A,#N/A,#N/A,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"Yes, I have a disability",I have never served,#N/A,No,#N/A,#N/A,#N/A,#N/A,3,3,3,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Other (please specify):,"Neurological disorder, sensory processing disorder",Staff,FALSE,Undisclosed
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,3,4,4,4,5,5,4,5,3,3,4,3,5,1,5,#N/A,5,"I think specifically in terms of supporting the work of Cockrell's graduate students, there could be a much greater effort toward PR in research and higher ed successes (e.g. articles about new publications that interview the graduate students, national awards for graduate students and postdocs). I think that our PR around promoting research and graduate student success is weaker compared to other similar universities.",Cisgender Man*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,Gay,4,5,3,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Gay
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,3,3,4,4,4,4,4,4,4,2,4,4,3,5,1,4,#N/A,4,Severely lacking representation for the black and Latinx communities (especially women in these communities) in regards to professors in the ECE department. It’s frustrating not to see myself in positions in academia. The only people that I see myself in is in the janitorial staff and that’s a problem that needs to be addressed by the department.,Cisgender Woman*,Yes,Yes,0,0,1,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,Prefer not to answer,2,2,2,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Undisclosed
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,3,4,2,2,4,4,3,3,3,4,4,4,5,5,2,3,#N/A,4,"A lot of these questions, such as supporting student academic success I could related to the at Cockrell such EOE and WEP ect. which do a fantastic job at supporting students at large. However in my personal experience at the school I have not had specific mentors or consistent individual supporting me (at a personal level) which is not necessary but I think would have helped me figure out who I am professionally and what I want to do professionally. Especially with COVID 19 it is increasing lonely and difficult to talk to people off hand and get advice because I have not built up those support systems on a personal level.",Cisgender Woman*,"It's complicated, I'd like to expand further",No,0,1,0,0,0,0,0,TRUE,mixed,"No, I do not have a disability",I have never served,4th year undergraduate,#N/A,#N/A,#N/A,#N/A,not sure,3,3,3,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Questioning
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,5,4,4,5,5,5,5,4,4,4,5,5,5,4,4,5,#N/A,4,#N/A,Cisgender Man*,Yes,Yes,1,0,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,Master's student,#N/A,#N/A,#N/A,#N/A,Gay,5,5,5,5,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Gay
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",3,3,4,3,3,3,3,4,4,3,4,4,4,4,4,2,3,#N/A,3,#N/A,Cisgender Woman*,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,Bisexual,3,3,3,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,3,3,4,3,3,4,3,3,2,3,3,4,3,4,2,4,#N/A,4,#N/A,Cisgender Woman*,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,2nd year undergraduate,#N/A,#N/A,#N/A,#N/A,gay,2,2,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Gay
